Grid_ID,UnitName,Year,Week,Week1,Week2,Week3,Week4,Target
1194_7866,Cyber Crime Police Station,2017,49,31,31,31,27,2
1194_7866,Cyber Crime Police Station,2017,50,31,31,27,19,2
1194_7866,Cyber Crime Police Station,2017,51,31,27,19,21,2
1194_7866,Cyber Crime Police Station,2017,52,27,19,21,17,2
1194_7866,Cyber Crime Police Station,2018,1,19,21,17,16,2
1194_7866,Cyber Crime Police Station,2018,2,21,17,16,21,2
1194_7866,Cyber Crime Police Station,2018,3,17,16,21,28,2
1194_7866,Cyber Crime Police Station,2018,4,16,21,28,15,2
1194_7866,Cyber Crime Police Station,2018,5,21,28,15,6,2
1194_7866,Cyber Crime Police Station,2018,6,28,15,6,16,2
1194_7866,Cyber Crime Police Station,2018,7,15,6,16,18,2
1194_7866,Cyber Crime Police Station,2018,8,6,16,18,27,2
1194_7866,Cyber Crime Police Station,2018,9,16,18,27,26,2
1194_7866,Cyber Crime Police Station,2018,10,18,27,26,14,2
1194_7866,Cyber Crime Police Station,2018,11,27,26,14,20,2
1194_7866,Cyber Crime Police Station,2018,12,26,14,20,16,2
1194_7866,Cyber Crime Police Station,2018,13,14,20,16,17,2
1194_7866,Cyber Crime Police Station,2018,14,20,16,17,21,2
1194_7866,Cyber Crime Police Station,2018,15,16,17,21,40,2
1194_7866,Cyber Crime Police Station,2018,16,17,21,40,23,2
1194_7866,Cyber Crime Police Station,2018,17,21,40,23,16,2
1194_7866,Cyber Crime Police Station,2018,18,40,23,16,21,2
1194_7866,Cyber Crime Police Station,2018,19,23,16,21,23,2
1194_7866,Cyber Crime Police Station,2018,20,16,21,23,24,2
1194_7866,Cyber Crime Police Station,2018,21,21,23,24,25,2
1194_7866,Cyber Crime Police Station,2018,22,23,24,25,24,2
1194_7866,Cyber Crime Police Station,2018,23,24,25,24,25,2
1194_7866,Cyber Crime Police Station,2018,24,25,24,25,35,2
1194_7866,Cyber Crime Police Station,2018,25,24,25,35,23,2
1194_7866,Cyber Crime Police Station,2018,26,25,35,23,20,2
1194_7866,Cyber Crime Police Station,2018,27,35,23,20,28,2
1194_7866,Cyber Crime Police Station,2018,28,23,20,28,41,2
1194_7866,Cyber Crime Police Station,2018,29,20,28,41,31,2
1194_7866,Cyber Crime Police Station,2018,30,28,41,31,36,2
1194_7866,Cyber Crime Police Station,2018,31,41,31,36,37,2
1194_7866,Cyber Crime Police Station,2018,32,31,36,37,41,2
1194_7866,Cyber Crime Police Station,2018,33,36,37,41,35,2
1194_7866,Cyber Crime Police Station,2018,34,37,41,35,16,2
1194_7866,Cyber Crime Police Station,2018,35,41,35,16,29,2
1194_7866,Cyber Crime Police Station,2018,36,35,16,29,25,2
1194_7866,Cyber Crime Police Station,2018,37,16,29,25,41,2
1194_7866,Cyber Crime Police Station,2018,38,29,25,41,24,2
1194_7866,Cyber Crime Police Station,2018,39,25,41,24,31,2
1194_7866,Cyber Crime Police Station,2018,40,41,24,31,45,2
1194_7866,Cyber Crime Police Station,2018,41,24,31,45,34,2
1194_7866,Cyber Crime Police Station,2018,42,31,45,34,23,2
1194_7866,Cyber Crime Police Station,2018,43,45,34,23,30,2
1194_7866,Cyber Crime Police Station,2018,44,34,23,30,39,2
1194_7866,Cyber Crime Police Station,2018,45,23,30,39,49,2
1194_7866,Cyber Crime Police Station,2018,46,30,39,49,37,2
1194_7866,Cyber Crime Police Station,2018,47,39,49,37,31,2
1194_7866,Cyber Crime Police Station,2018,48,49,37,31,42,2
1194_7866,Cyber Crime Police Station,2018,49,37,31,42,47,2
1194_7866,Cyber Crime Police Station,2018,50,31,42,47,37,2
1194_7866,Cyber Crime Police Station,2018,51,42,47,37,38,2
1194_7866,Cyber Crime Police Station,2018,52,47,37,38,41,2
1194_7866,Cyber Crime Police Station,2019,1,37,38,41,29,2
1194_7866,Cyber Crime Police Station,2019,2,38,41,29,39,2
1194_7866,Cyber Crime Police Station,2019,3,41,29,39,36,2
1194_7866,Cyber Crime Police Station,2019,4,29,39,36,34,2
1194_7866,Cyber Crime Police Station,2019,5,39,36,34,26,2
1194_7866,Cyber Crime Police Station,2019,6,36,34,26,36,2
1194_7866,Cyber Crime Police Station,2019,7,34,26,36,50,2
1194_7866,Cyber Crime Police Station,2019,8,26,36,50,55,2
1194_7866,Cyber Crime Police Station,2019,9,36,50,55,43,2
1194_7866,Cyber Crime Police Station,2019,10,50,55,43,45,2
1194_7866,Cyber Crime Police Station,2019,11,55,43,45,53,2
1194_7866,Cyber Crime Police Station,2019,12,43,45,53,49,2
1194_7866,Cyber Crime Police Station,2019,13,45,53,49,38,2
1194_7866,Cyber Crime Police Station,2019,14,53,49,38,45,2
1194_7866,Cyber Crime Police Station,2019,15,49,38,45,50,2
1194_7866,Cyber Crime Police Station,2019,16,38,45,50,46,2
1194_7866,Cyber Crime Police Station,2019,17,45,50,46,57,2
1194_7866,Cyber Crime Police Station,2019,18,50,46,57,56,2
1194_7866,Cyber Crime Police Station,2019,19,46,57,56,64,2
1194_7866,Cyber Crime Police Station,2019,20,57,56,64,59,2
1194_7866,Cyber Crime Police Station,2019,21,56,64,59,64,2
1194_7866,Cyber Crime Police Station,2019,22,64,59,64,52,2
1194_7866,Cyber Crime Police Station,2019,23,59,64,52,59,2
1194_7866,Cyber Crime Police Station,2019,24,64,52,59,63,2
1194_7866,Cyber Crime Police Station,2019,25,52,59,63,54,2
1194_7866,Cyber Crime Police Station,2019,26,59,63,54,60,2
1194_7866,Cyber Crime Police Station,2019,27,63,54,60,71,2
1194_7866,Cyber Crime Police Station,2019,28,54,60,71,74,2
1194_7866,Cyber Crime Police Station,2019,29,60,71,74,80,2
1194_7866,Cyber Crime Police Station,2019,30,71,74,80,58,2
1194_7866,Cyber Crime Police Station,2019,31,74,80,58,62,2
1194_7866,Cyber Crime Police Station,2019,32,80,58,62,70,2
1194_7866,Cyber Crime Police Station,2019,33,58,62,70,79,2
1194_7866,Cyber Crime Police Station,2019,34,62,70,79,65,2
1194_7866,Cyber Crime Police Station,2019,35,70,79,65,62,2
1194_7866,Cyber Crime Police Station,2019,36,79,65,62,65,2
1194_7866,Cyber Crime Police Station,2019,37,65,62,65,68,2
1194_7866,Cyber Crime Police Station,2019,38,62,65,68,60,2
1194_7866,Cyber Crime Police Station,2019,39,65,68,60,76,2
1194_7866,Cyber Crime Police Station,2019,40,68,60,76,57,2
1194_7866,Cyber Crime Police Station,2019,41,60,76,57,57,2
1194_7866,Cyber Crime Police Station,2019,42,76,57,57,48,2
1194_7866,Cyber Crime Police Station,2019,43,57,57,48,65,2
1194_7866,Cyber Crime Police Station,2019,44,57,48,65,79,2
1194_7866,Cyber Crime Police Station,2019,45,48,65,79,49,2
1194_7866,Cyber Crime Police Station,2019,46,65,79,49,60,2
1194_7866,Cyber Crime Police Station,2019,47,79,49,60,41,2
1194_7866,Cyber Crime Police Station,2019,48,49,60,41,15,0
1194_7866,Cyber Crime Police Station,2019,50,60,41,15,1,2
1194_7866,Cyber Crime Police Station,2019,51,41,15,1,24,2
1194_7866,Cyber Crime Police Station,2019,52,15,1,24,32,1
1194_7866,Cyber Crime Police Station,2020,2,1,24,32,3,0
1194_7866,Cyber Crime Police Station,2020,16,24,32,3,1,0
1194_7866,Cyber Crime Police Station,2020,19,32,3,1,1,0
1194_7866,Cyber Crime Police Station,2020,30,3,1,1,1,0
1194_7866,Cyber Crime Police Station,2020,33,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2020,52,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2021,26,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2021,28,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2021,32,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2021,33,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2021,37,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,3,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,5,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,7,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,9,1,1,1,1,1
1194_7866,Cyber Crime Police Station,2022,12,1,1,1,3,0
1194_7866,Cyber Crime Police Station,2022,15,1,1,3,1,0
1194_7866,Cyber Crime Police Station,2022,17,1,3,1,1,0
1194_7866,Cyber Crime Police Station,2022,18,3,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,21,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,22,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,28,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,34,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,39,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2022,42,1,1,1,1,1
1194_7866,Cyber Crime Police Station,2022,46,1,1,1,2,0
1194_7866,Cyber Crime Police Station,2023,5,1,1,2,1,0
1194_7866,Cyber Crime Police Station,2023,16,1,2,1,1,0
1194_7866,Cyber Crime Police Station,2023,17,2,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,21,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,27,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,32,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,34,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,35,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,37,1,1,1,1,0
1194_7866,Cyber Crime Police Station,2023,38,1,1,1,1,0
1200_7700,Malleshwaram PS,2023,30,1,1,1,1,0
1200_7700,Malleshwaram PS,2023,33,1,1,1,1,0
1200_7700,Malleshwaram PS,2023,34,1,1,1,1,0
1200_7700,Malleshwaram PS,2023,36,1,1,1,1,0
1200_7700,Malleshwaram PS,2023,44,1,1,1,1,0
1200_7700,Malleshwaram PS,2023,47,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2016,51,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,16,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,17,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,18,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,19,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,21,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,29,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2017,31,1,1,1,1,1
1209_7756,Basaveshwara Nagar PS,2017,37,1,1,1,2,0
1209_7756,Basaveshwara Nagar PS,2017,38,1,1,2,1,0
1209_7756,Basaveshwara Nagar PS,2017,41,1,2,1,1,1
1209_7756,Basaveshwara Nagar PS,2017,44,2,1,1,2,0
1209_7756,Basaveshwara Nagar PS,2017,46,1,1,2,1,0
1209_7756,Basaveshwara Nagar PS,2018,3,1,2,1,1,0
1209_7756,Basaveshwara Nagar PS,2018,15,2,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2018,21,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2018,29,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2018,33,1,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2018,34,1,1,1,1,1
1209_7756,Basaveshwara Nagar PS,2018,38,1,1,1,2,0
1209_7756,Basaveshwara Nagar PS,2019,3,1,1,2,1,1
1209_7756,Basaveshwara Nagar PS,2019,4,1,2,1,2,0
1209_7756,Basaveshwara Nagar PS,2019,19,2,1,2,1,0
1209_7756,Basaveshwara Nagar PS,2019,21,1,2,1,1,0
1209_7756,Basaveshwara Nagar PS,2019,23,2,1,1,1,0
1209_7756,Basaveshwara Nagar PS,2019,28,1,1,1,1,1
1209_7756,Basaveshwara Nagar PS,2019,43,1,1,1,2,0
1209_7756,Basaveshwara Nagar PS,2019,44,1,1,2,1,0
1209_7756,Basaveshwara Nagar PS,2019,46,1,2,1,1,1
1209_7756,Basaveshwara Nagar PS,2020,23,2,1,1,2,0
1209_7756,Basaveshwara Nagar PS,2022,14,1,1,2,1,0
1209_7760,East CEN Crime PS,2020,14,1,4,3,1,1
1209_7760,East CEN Crime PS,2020,15,4,3,1,2,0
1209_7760,East CEN Crime PS,2020,16,3,1,2,1,2
1209_7760,East CEN Crime PS,2020,17,1,2,1,4,1
1209_7760,East CEN Crime PS,2020,18,2,1,4,3,2
1209_7760,East CEN Crime PS,2020,19,1,4,3,4,2
1209_7760,East CEN Crime PS,2020,20,4,3,4,4,2
1209_7760,East CEN Crime PS,2020,21,3,4,4,4,2
1209_7760,East CEN Crime PS,2020,22,4,4,4,9,2
1209_7760,East CEN Crime PS,2020,23,4,4,9,4,2
1209_7760,East CEN Crime PS,2020,24,4,9,4,10,2
1209_7760,East CEN Crime PS,2020,25,9,4,10,7,2
1209_7760,East CEN Crime PS,2020,26,4,10,7,4,2
1209_7760,East CEN Crime PS,2020,29,10,7,4,5,1
1209_7760,East CEN Crime PS,2020,30,7,4,5,3,2
1209_7760,East CEN Crime PS,2020,31,4,5,3,10,2
1209_7760,East CEN Crime PS,2020,32,5,3,10,7,2
1209_7760,East CEN Crime PS,2020,33,3,10,7,10,2
1209_7760,East CEN Crime PS,2020,34,10,7,10,8,2
1209_7760,East CEN Crime PS,2020,35,7,10,8,6,2
1209_7760,East CEN Crime PS,2020,36,10,8,6,5,2
1209_7760,East CEN Crime PS,2020,37,8,6,5,6,2
1209_7760,East CEN Crime PS,2020,38,6,5,6,7,2
1209_7760,East CEN Crime PS,2020,39,5,6,7,13,2
1209_7760,East CEN Crime PS,2020,40,6,7,13,7,2
1209_7760,East CEN Crime PS,2020,41,7,13,7,9,1
1209_7760,East CEN Crime PS,2020,42,13,7,9,2,2
1209_7760,East CEN Crime PS,2020,43,7,9,2,5,1
1209_7760,East CEN Crime PS,2020,44,9,2,5,3,2
1209_7760,East CEN Crime PS,2020,45,2,5,3,4,2
1209_7760,East CEN Crime PS,2020,46,5,3,4,7,2
1209_7760,East CEN Crime PS,2020,47,3,4,7,5,2
1209_7760,East CEN Crime PS,2020,48,4,7,5,9,2
1209_7760,East CEN Crime PS,2020,49,7,5,9,7,2
1209_7760,East CEN Crime PS,2020,50,5,9,7,7,2
1209_7760,East CEN Crime PS,2020,51,9,7,7,5,2
1209_7760,East CEN Crime PS,2020,52,7,7,5,10,2
1209_7760,East CEN Crime PS,2020,53,7,5,10,14,2
1209_7760,East CEN Crime PS,2021,1,5,10,14,5,2
1209_7760,East CEN Crime PS,2021,2,10,14,5,8,2
1209_7760,East CEN Crime PS,2021,3,14,5,8,5,2
1209_7760,East CEN Crime PS,2021,4,5,8,5,5,2
1209_7760,East CEN Crime PS,2021,6,8,5,5,4,2
1209_7760,East CEN Crime PS,2021,7,5,5,4,4,1
1209_7760,East CEN Crime PS,2021,8,5,4,4,2,0
1209_7760,East CEN Crime PS,2021,9,4,4,2,1,1
1209_7760,East CEN Crime PS,2021,10,4,2,1,2,2
1209_7760,East CEN Crime PS,2021,11,2,1,2,4,1
1209_7760,East CEN Crime PS,2021,12,1,2,4,2,1
1209_7760,East CEN Crime PS,2021,13,2,4,2,3,1
1209_7760,East CEN Crime PS,2021,14,4,2,3,2,1
1209_7760,East CEN Crime PS,2021,15,2,3,2,2,0
1209_7760,East CEN Crime PS,2021,17,3,2,2,1,0
1209_7760,East CEN Crime PS,2021,20,2,2,1,1,1
1209_7760,East CEN Crime PS,2021,21,2,1,1,3,2
1209_7760,East CEN Crime PS,2021,22,1,1,3,5,2
1209_7760,East CEN Crime PS,2021,23,1,3,5,5,1
1209_7760,East CEN Crime PS,2021,24,3,5,5,3,2
1209_7760,East CEN Crime PS,2021,25,5,5,3,6,1
1209_7760,East CEN Crime PS,2021,26,5,3,6,3,2
1209_7760,East CEN Crime PS,2021,27,3,6,3,4,2
1209_7760,East CEN Crime PS,2021,28,6,3,4,6,2
1209_7760,East CEN Crime PS,2021,29,3,4,6,10,2
1209_7760,East CEN Crime PS,2021,30,4,6,10,12,2
1209_7760,East CEN Crime PS,2021,31,6,10,12,8,2
1209_7760,East CEN Crime PS,2021,32,10,12,8,5,1
1209_7760,East CEN Crime PS,2021,33,12,8,5,3,1
1209_7760,East CEN Crime PS,2021,34,8,5,3,3,2
1209_7760,East CEN Crime PS,2021,35,5,3,3,8,2
1209_7760,East CEN Crime PS,2021,36,3,3,8,5,1
1209_7760,East CEN Crime PS,2021,37,3,8,5,2,2
1209_7760,East CEN Crime PS,2021,38,8,5,2,12,2
1209_7760,East CEN Crime PS,2021,39,5,2,12,10,2
1209_7760,East CEN Crime PS,2021,40,2,12,10,4,2
1209_7760,East CEN Crime PS,2021,41,12,10,4,4,1
1209_7760,East CEN Crime PS,2021,42,10,4,4,3,1
1209_7760,East CEN Crime PS,2021,43,4,4,3,3,2
1209_7760,East CEN Crime PS,2021,44,4,3,3,4,1
1209_7760,East CEN Crime PS,2021,45,3,3,4,3,2
1209_7760,East CEN Crime PS,2021,46,3,4,3,8,1
1209_7760,East CEN Crime PS,2021,47,4,3,8,3,1
1209_7760,East CEN Crime PS,2021,48,3,8,3,3,1
1209_7760,East CEN Crime PS,2021,49,8,3,3,2,2
1209_7760,East CEN Crime PS,2021,50,3,3,2,5,1
1209_7760,East CEN Crime PS,2021,51,3,2,5,3,2
1209_7760,East CEN Crime PS,2021,52,2,5,3,5,1
1209_7760,East CEN Crime PS,2022,1,5,3,5,2,1
1209_7760,East CEN Crime PS,2022,3,3,5,2,3,0
1209_7760,East CEN Crime PS,2022,4,5,2,3,1,2
1209_7760,East CEN Crime PS,2022,5,2,3,1,7,1
1209_7760,East CEN Crime PS,2022,6,3,1,7,3,1
1209_7760,East CEN Crime PS,2022,7,1,7,3,3,2
1209_7760,East CEN Crime PS,2022,8,7,3,3,6,1
1209_7760,East CEN Crime PS,2022,9,3,3,6,3,2
1209_7760,East CEN Crime PS,2022,10,3,6,3,7,0
1209_7760,East CEN Crime PS,2022,11,6,3,7,1,2
1209_7760,East CEN Crime PS,2022,12,3,7,1,7,1
1209_7760,East CEN Crime PS,2022,13,7,1,7,3,0
1209_7760,East CEN Crime PS,2022,14,1,7,3,1,2
1209_7760,East CEN Crime PS,2022,15,7,3,1,5,1
1209_7760,East CEN Crime PS,2022,16,3,1,5,2,2
1209_7760,East CEN Crime PS,2022,17,1,5,2,5,2
1209_7760,East CEN Crime PS,2022,18,5,2,5,9,2
1209_7760,East CEN Crime PS,2022,19,2,5,9,7,1
1209_7760,East CEN Crime PS,2022,20,5,9,7,3,2
1209_7760,East CEN Crime PS,2022,21,9,7,3,5,2
1209_7760,East CEN Crime PS,2022,22,7,3,5,4,2
1209_7760,East CEN Crime PS,2022,23,3,5,4,6,2
1209_7760,East CEN Crime PS,2022,24,5,4,6,4,2
1209_7760,East CEN Crime PS,2022,25,4,6,4,6,2
1209_7760,East CEN Crime PS,2022,26,6,4,6,4,2
1209_7760,East CEN Crime PS,2022,27,4,6,4,8,2
1209_7760,East CEN Crime PS,2022,28,6,4,8,5,2
1209_7760,East CEN Crime PS,2022,29,4,8,5,6,2
1209_7760,East CEN Crime PS,2022,30,8,5,6,8,2
1209_7760,East CEN Crime PS,2022,31,5,6,8,5,2
1209_7760,East CEN Crime PS,2022,32,6,8,5,8,2
1209_7760,East CEN Crime PS,2022,33,8,5,8,8,2
1209_7760,East CEN Crime PS,2022,34,5,8,8,9,2
1209_7760,East CEN Crime PS,2022,35,8,8,9,7,2
1209_7760,East CEN Crime PS,2022,36,8,9,7,7,2
1209_7760,East CEN Crime PS,2022,37,9,7,7,4,2
1209_7760,East CEN Crime PS,2022,38,7,7,4,4,2
1209_7760,East CEN Crime PS,2022,39,7,4,4,5,2
1209_7760,East CEN Crime PS,2022,40,4,4,5,7,2
1209_7760,East CEN Crime PS,2022,41,4,5,7,5,2
1209_7760,East CEN Crime PS,2022,42,5,7,5,6,2
1209_7760,East CEN Crime PS,2022,43,7,5,6,5,2
1209_7760,East CEN Crime PS,2022,44,5,6,5,5,2
1209_7760,East CEN Crime PS,2022,45,6,5,5,4,2
1209_7760,East CEN Crime PS,2022,46,5,5,4,9,2
1209_7760,East CEN Crime PS,2022,47,5,4,9,13,2
1209_7760,East CEN Crime PS,2022,48,4,9,13,6,2
1209_7760,East CEN Crime PS,2022,49,9,13,6,7,2
1209_7760,East CEN Crime PS,2022,50,13,6,7,5,2
1209_7760,East CEN Crime PS,2022,51,6,7,5,13,2
1209_7760,East CEN Crime PS,2022,52,7,5,13,6,2
1209_7760,East CEN Crime PS,2023,1,5,13,6,6,2
1209_7760,East CEN Crime PS,2023,2,13,6,6,10,2
1209_7760,East CEN Crime PS,2023,3,6,6,10,9,2
1209_7760,East CEN Crime PS,2023,4,6,10,9,8,2
1209_7760,East CEN Crime PS,2023,5,10,9,8,8,2
1209_7760,East CEN Crime PS,2023,6,9,8,8,4,2
1209_7760,East CEN Crime PS,2023,7,8,8,4,7,2
1209_7760,East CEN Crime PS,2023,8,8,4,7,14,2
1209_7760,East CEN Crime PS,2023,9,4,7,14,9,2
1209_7760,East CEN Crime PS,2023,10,7,14,9,15,2
1209_7760,East CEN Crime PS,2023,11,14,9,15,15,2
1209_7760,East CEN Crime PS,2023,12,9,15,15,15,2
1209_7760,East CEN Crime PS,2023,13,15,15,15,7,2
1209_7760,East CEN Crime PS,2023,14,15,15,7,9,2
1209_7760,East CEN Crime PS,2023,15,15,7,9,9,2
1209_7760,East CEN Crime PS,2023,16,7,9,9,9,2
1209_7760,East CEN Crime PS,2023,17,9,9,9,16,2
1209_7760,East CEN Crime PS,2023,18,9,9,16,17,2
1209_7760,East CEN Crime PS,2023,19,9,16,17,13,2
1209_7760,East CEN Crime PS,2023,20,16,17,13,12,2
1209_7760,East CEN Crime PS,2023,21,17,13,12,11,2
1209_7760,East CEN Crime PS,2023,22,13,12,11,11,2
1209_7760,East CEN Crime PS,2023,23,12,11,11,13,2
1209_7760,East CEN Crime PS,2023,24,11,11,13,12,2
1209_7760,East CEN Crime PS,2023,25,11,13,12,9,2
1209_7760,East CEN Crime PS,2023,26,13,12,9,11,2
1209_7760,East CEN Crime PS,2023,27,12,9,11,9,2
1209_7760,East CEN Crime PS,2023,28,9,11,9,8,2
1209_7760,East CEN Crime PS,2023,29,11,9,8,6,2
1209_7760,East CEN Crime PS,2023,30,9,8,6,13,2
1209_7760,East CEN Crime PS,2023,31,8,6,13,10,2
1209_7760,East CEN Crime PS,2023,32,6,13,10,6,2
1209_7760,East CEN Crime PS,2023,34,13,10,6,7,1
1209_7760,East CEN Crime PS,2023,35,10,6,7,3,1
1209_7760,East CEN Crime PS,2023,36,6,7,3,3,2
1209_7760,East CEN Crime PS,2023,37,7,3,3,4,2
1209_7760,East CEN Crime PS,2023,38,3,3,4,6,2
1209_7760,East CEN Crime PS,2023,39,3,4,6,4,1
1209_7760,East CEN Crime PS,2023,40,4,6,4,2,2
1209_7760,East CEN Crime PS,2023,42,6,4,2,4,2
1209_7760,East CEN Crime PS,2023,43,4,2,4,6,0
1209_7760,East CEN Crime PS,2023,44,2,4,6,1,2
1209_7760,East CEN Crime PS,2023,45,4,6,1,5,2
1209_7760,East CEN Crime PS,2023,46,6,1,5,7,1
1209_7760,East CEN Crime PS,2023,47,1,5,7,3,2
1209_7760,East CEN Crime PS,2023,48,5,7,3,8,1
1209_7760,East CEN Crime PS,2023,48,7,3,8,2,1
1209_7760,East CEN Crime PS,2023,49,3,8,2,3,2
1209_7760,East CEN Crime PS,2023,50,8,2,3,5,2
1209_7760,East CEN Crime PS,2023,51,2,3,5,4,2
1209_7760,East CEN Crime PS,2023,52,3,5,4,4,1
1209_7760,East CEN Crime PS,2023,52,5,4,4,2,2
1214_7745,Hulimavu PS,2023,48,1,1,2,1,0
1219_7770,Varthur PS,2021,20,2,1,2,3,2
1219_7770,Varthur PS,2021,21,1,2,3,4,2
1219_7770,Varthur PS,2021,24,2,3,4,4,0
1219_7770,Varthur PS,2021,25,3,4,4,1,0
1219_7770,Varthur PS,2021,26,4,4,1,1,0
1219_7770,Varthur PS,2021,27,4,1,1,1,0
1219_7770,Varthur PS,2021,29,1,1,1,1,1
1221_7712,Central CEN Crime PS,2023,47,1,1,1,1,0
1228_7663,Jayanagar PS,2019,30,1,1,1,2,0
1228_7663,Jayanagar PS,2019,37,1,1,2,1,0
1228_7663,Jayanagar PS,2019,39,1,2,1,1,0
1228_7663,Jayanagar PS,2019,40,2,1,1,1,0
1228_7663,Jayanagar PS,2019,42,1,1,1,1,0
1228_7663,Jayanagar PS,2019,46,1,1,1,1,0
1228_7663,Jayanagar PS,2019,47,1,1,1,1,0
1228_7663,Jayanagar PS,2019,49,1,1,1,1,0
1228_7663,Jayanagar PS,2019,51,1,1,1,1,0
1228_7663,Jayanagar PS,2020,4,1,1,1,1,1
1228_7663,Jayanagar PS,2020,11,1,1,1,2,0
1228_7663,Jayanagar PS,2020,30,1,1,2,1,1
1228_7663,Jayanagar PS,2020,31,1,2,1,2,0
1228_7663,Jayanagar PS,2020,42,2,1,2,1,0
1228_7663,Jayanagar PS,2020,43,1,2,1,1,0
1228_7663,Jayanagar PS,2020,49,2,1,1,1,0
1228_7663,Jayanagar PS,2020,52,1,1,1,1,0
1228_7663,Jayanagar PS,2020,53,1,1,1,1,0
1228_7663,Jayanagar PS,2021,3,1,1,1,1,0
1228_7663,Jayanagar PS,2021,4,1,1,1,1,1
1228_7663,Jayanagar PS,2021,5,1,1,1,2,0
1228_7663,Jayanagar PS,2021,32,1,1,2,1,0
1228_7663,Jayanagar PS,2021,34,1,2,1,1,0
1228_7663,Jayanagar PS,2021,40,2,1,1,1,0
1228_7663,Jayanagar PS,2021,46,1,1,1,1,0
