Grid_ID,UnitName,Village_Area_Name
1215_7712,Rajarajeshwari Nagar PS,R.R.NAGARA
1215_7715,Rajarajeshwari Nagar PS,R.R.NAGARA
1215_7745,Rajarajeshwari Nagar PS,R.R.NAGARA
1215_7757,Kalasipalya PS,HAMEEDKHAN GARDEN
1215_7758,Rajarajeshwari Nagar PS,R.R.NAGARA
1215_7759,Rajarajeshwari Nagar PS,R.R.NAGARA
1216_7715,Rajarajeshwari Nagar PS,GAS
1216_7745,Madivala Traffic PS,S.P. ROAD JUNCTION
1216_7757,City Market PS,MARKET CIRCLE
1217_7736,Madivala Traffic PS,HONGA SANDRA
1217_7745,Kadugodi PS,DINNUR
1218_7637,Hulimavu PS,HULIMAVU GATE
1218_7714,Rajarajeshwari Nagar PS,R.R.NAGARA
1219_7706,Suddaguntepalya PS,Ramaiah layout
1219_7748,Kengeri PS,SUBASH NAGARA
1219_7770,Varthur PS,GUNJUR BALAGERE GUNJUROALYA
121_763,Rajajinagar Traffic PS,NANDINI LAYOUT
1221_7712,Central CEN Crime PS,Central division Limit
1221_7714,Magadi Road PS,GOPALAPURA
1221_7753,Thalaghattapura PS,Hosahalli
1221_7756,Konanakunte PS,BIRESHWARANAGAR
1221_7759,Rajarajeshwari Nagar PS,R.R.NAGARA
1222_7712,Beguru PS,YELENA HALLI
1222_7760,SouthEast CEN Crime PS,Southeast
1222_7780,SouthEast CEN Crime PS,Southeast
1223_7711,Jnanabharathi PS,Ullal
1223_7712,Byatarayanapura  PS,Nayandahalli Junction
1223_7715,Basaveshwara Nagar PS,MANIVILAS GARDEN
1223_7723,Electronic City Traffic PS,Electronic City Main Gate
1223_7735,Hulimavu PS,KOTTANOORU DINNE
1223_7752,Byatarayanapura  PS,Narasimhaiah Colony
1223_7754,Central CEN Crime PS,Central division Limit
1223_7765,Chamarajpet PS,TIPPUNAGAR
1223_7798,Kengeri PS,Nagadevanahalli
1224_7723,Central CEN Crime PS,Central division Limit
1224_7725,Konanakunte PS,PILLAGANAHALLI
1224_7728,Jayanagar PS,Eighth Block Jayanagar
1224_7736,Jayanagar PS,ICICI Bank Circle
1224_7737,Jayanagar PS,JAYANAGAR
1224_7739,Jayanagar PS,Fifth Block Jayanagar
1224_7754,Byatarayanapura  PS,Kasturi Ba Nagar
1224_7756,Byatarayanapura  PS,Bangalore One And Fifty Feet Road
1225_6612,Sanjay Nagar PS,NAGASHETTYHALLI
1225_7684,Girinagar PS,VEERABHADRA NAGARA
1225_7702,Kengeri PS,SHIRKE APPARTMENTS
1225_7712,HSR Layout PS,OTHER
1225_7715,Rajarajeshwari Nagar PS,R.R.NAGARA
1225_7720,Girinagar PS,GIRINAGARA SECOND PHASE
1225_7723,Vishveshwarapuram PS,V.V PURAM
1225_7724,Girinagar PS,KALIDASA NAGARA
1225_7725,Malleshwaram PS,MALLESHWARA
1225_7726,Konanakunte PS,SREYAS COLONY
1225_7732,Rajajinagar Traffic PS,RAJAJINAGARA
1225_7754,Rajarajeshwari Nagar PS,R.R.NAGARA
1225_7756,Malleshwaram PS,MALLESHWARA
1225_7757,Upparpet Traffic PS,Near Lakshmanapuri Bridge
1225_7785,Vishveshwarapuram PS,V.V PURAM
1225_7787,Rajarajeshwari Nagar PS,R.R.NAGARA
1226_7664,Jayanagar Traffic PS,J P NAGARA
1226_7723,Vishveshwarapuram PS,PARVATHIPURAM
1226_7725,Rajarajeshwari Nagar PS,R.R.NAGARA
1226_7736,Jayanagar PS,JAYANAGAR
1226_7739,Jayanagar PS,ICICI Bank Circle
1226_7750,Banashankari PS,Raghavendra Matta
1226_7771,Banashankari PS,K.R.Road
1227_7709,Basaveshwara Nagar PS,BHOVI COLONY
1227_7750,Banashankari PS,Raghavendra Matta
1228_7606,Jayanagar PS,Fifth Block Jayanagar
1228_7661,Banashankari PS,Raghavendra Matta
1228_7662,Banashankari PS,Banashankari IInd Stage
1228_7663,Jayanagar PS,Fifth Block Jayanagar
1228_7723,Jayanagar PS,Fourth T Block Jayanagar
1228_7750,Banashankari PS,Yarabanagara
1228_7752,Banashankari PS,Raghavendra Matta
1228_7760,Subramanyanagar PS,RAJAJINAGAR D BLOCK
1228_7763,Jayanagar PS,Eighth Block Jayanagar
1229_7365,Wilsongarden Traffic PS,wilsongarden
1229_7582,South CEN Crime PS,SOUTH DVN
1229_7665,Chamarajpet PS,Adharsha Nagar
1229_7710,Byatarayanapura  PS,Kasturi Ba Nagar
1229_7757,Banashankari Traffic PS,KANAKAPURA MAIN ROAD
1230_7660,Banashankari PS,Banashankari IInd Stage
1230_7666,Subramanyapura PS,CITY ENGNIERING COLLEGE
1230_7751,Kengeri Traffic PS,SHIRKA JUNCTION
1230_7753,Basavanagudi Women PS,RAMANAGARA
1231_7664,Chamarajpet PS,TIPPUNAGAR
1231_7669,Rajajinagar Traffic PS,Twelth main road
1231_7765,Byatarayanapura  PS,Nayandahalli Junction
1232_7667,Chamarajpet PS,Chamarajpet second crs to froth crs
1232_7712,Hulimavu PS,T RAMAIAH GARDEN
1232_7715,Rajarajeshwari Nagar PS,R.R.NAGARA
1232_7723,Byatarayanapura  PS,Pramod Layout
1232_7732,Subramanyapura PS,BRANDAVAN LAYOUT
1232_7756,Kengeri PS,NAGADEVANA HALLI
1232_7761,Kengeri PS,LEFT SIDE FROM KARNATAKA BANK TO BHAIRAVA BAR
1232_7763,Basavanagudi PS,R V Road
1232_7765,Kengeri PS,RP ROAD
1233_7722,Jnanabharathi PS,JNANAGANGANAGARA
1233_7733,Jnanabharathi PS,VINAYAKA LAYOUT
1233_7750,Banashankari PS,Banashankari IInd Stage
1233_7761,Madivala PS,Silk Board Junction
1234_1257,Rajajinagar Traffic PS,MAHALAKSHMI LAYOUT ENTRENCE
1234_7731,Rajajinagar Traffic PS,NANDINI LAYOUT
1234_7742,Chandra Layout PS,CHANDRALAYOUT
1234_7756,Byatarayanapura  PS,Deepanjali Nagar
1234_7761,Byatarayanapura  PS,Kasturi Ba Nagar
1234_7764,Byatarayanapura  PS,Pramod Layout
1235_7662,Byatarayanapura  PS,Bangalore One And Fifty Feet Road
1235_7720,Girinagar PS,Hosakerehalli
1235_7725,Rajarajeshwari Nagar PS,R.R.NAGARA
1235_7726,Rajarajeshwari Nagar PS,R.R.NAGARA
1235_7732,Magadi Road PS,Industrial town
1235_7735,Rajarajeshwari Nagar PS,R.R.NAGARA
1235_7736,Konanakunte PS,PILLAGANAHALLI
1235_7752,Rajarajeshwari Nagar PS,R.R.NAGARA
1235_7753,Varthur PS,KODATI SULIKUNTE AMBEDKAR NAGARA
1235_7755,Kamakshipalya Traffic PS,Nice Road
1235_7757,Marathahalli PS,DEVARABISANA HALLI
1235_7763,Kengeri PS,HARASHA LAYOUT
1235_7765,Basavanagudi PS,K.R ROAD
1236_7705,Magadi Road PS,GOPALAPURA
1236_7721,Rajarajeshwari Nagar PS,R.R.NAGARA
1236_7723,Rajajinagar Traffic PS,RAJAJINAGARA
1236_7725,Malleshwaram PS,MALLESHWARA
1236_7726,Rajarajeshwari Nagar PS,R.R.NAGARA
1236_7732,Subramanyapura PS,R.B.I LAYOUT
1236_7735,Rajarajeshwari Nagar PS,R.R.NAGARA
1236_7736,Subramanyapura PS,VASANTHAPURA GUDDA
1236_7756,Rajarajeshwari Nagar PS,R.R.NAGARA
1236_7758,Magadi Road PS,Agraharadasarahally fourth main
1236_7765,Rajarajeshwari Nagar PS,R.R.NAGARA
1236_7786,Magadi Road Traffic PS,rajaji nagar
1236_7789,Magadi Road Traffic PS,magadi road
1237_7745,Basaveshwara Nagar PS,LIC COLONY
1237_7756,Kengeri PS,RP ROAD
1239_7677,East Zone Women PS,ULSOOR PS
1239_7752,Chandra Layout PS,Nayandahalli Madduramma Temple and Railway Track
1239_7769,Mahadevapura PS,B Narayanapura
1241_7719,Bellanduru PS,WIPRO
1241_7721,Central CEN Crime PS,Central division Limit
1242_7712,Central CEN Crime PS,Central division Limit
1242_7724,Central CEN Crime PS,Central division Limit
1242_7764,Rajajinagar Traffic PS,RAJAJINAGARA
1242_7799,Kengeri PS,RP ROAD
1244_7729,Kengeri PS,Nagadevanahalli
1244_7731,Byadarahalli PS,Herohalli
1244_7761,Hulimavu Traffic PS,hulimavu
1245_7623,Adugodi Traffic PS,KORAMANGALA
1245_7667,Upparpet PS,KSRTC AND BMTC SEVICE ROAD
1245_7710,Central CEN Crime PS,Central division Limit
1245_7712,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7723,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7724,Kumaraswamy Layout Traffic PS,JARAGANAHALLI BUS STAND
1245_7725,Channammanakere Achu Kattu PS,C.K. ACHHUKATTU
1245_7726,Siddapura PS,Byrasandra
1245_7730,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7732,Girinagar PS,GIRINAGARA T BLOCK
1245_7734,Malleshwaram PS,Malleswaram
1245_7737,Beguru PS,HONGASANDRA
1245_7745,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7746,Kengeri PS,RV COLLEGE BUS STOP
1245_7747,Rajarajeshwari Nagar PS,GAS
1245_7748,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7753,Upparpet PS,T B ROAD
1245_7754,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7755,Upparpet PS,KSRTC AND BMTC SEVICE ROAD
1245_7756,SouthEast CEN Crime PS,Southeast
1245_7757,SouthEast CEN Crime PS,Southeast
1245_7758,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7759,SouthEast CEN Crime PS,Southeast
1245_7766,Kengeri PS,RP ROAD
1245_7774,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7787,Rajarajeshwari Nagar PS,R.R.NAGARA
1245_7794,Kamakshipalya PS,Other Jurisdiction
1245_7798,Malleshwaram PS,MALLESHWARA
1246_7712,Central CEN Crime PS,Central division Limit
1246_7715,Rajarajeshwari Nagar PS,R.R.NAGARA
1246_7724,Central CEN Crime PS,Central division Limit
1246_7725,Channammanakere Achu Kattu PS,C.K. ACHHUKATTU
1246_7745,Rajarajeshwari Nagar PS,R.R.NAGARA
1247_7712,Central CEN Crime PS,Central division Limit
1247_7737,Hulimavu PS,HULIMAVU GATE
1247_7747,Annapoorneshwari Nagar PS,KRISHNANDA NAGAR
1247_7748,Annapoorneshwari Nagar PS,KENGUNTE
1247_7752,Annapoorneshwari Nagar PS,FOURTH BLOCK NAGARABHAVI BEHIND SBI BANK
1248_7638,Thilaknagar PS,JAYANAGAR NINTH BLOCK
1248_7745,Kengeri PS,RP ROAD
1248_7765,Kengeri PS,SHIRKE
1248_7787,Rajarajeshwari Nagar PS,R.R.NAGARA
1249_7726,Malleshwaram PS,Malleswaram
1249_7745,Channammanakere Achu Kattu PS,KAMAKYA LAYOUT
1250_7734,Hulimavu PS,PILLAGANAHALLI
1250_7735,Hulimavu PS,PILLAGANAHALLI
1250_7736,Hulimavu PS,NOBO NAGAR
1250_7737,Electronic City PS,VEERASANDRA GATE
1250_7738,Electronic City Traffic PS,EC IInd gate
1250_7739,Electronic City PS,Others
1250_7740,Electronic City Traffic PS,Electronic City Main Gate
1251_7695,Byatarayanapura  PS,ATHMAJYOTHI NAGAR
1251_7725,Kempapura Agrahara PS,Magadi Road
1251_7731,Chandra Layout PS,Chalukyanagara
1251_7732,Thalaghattapura PS,Vajarahalli
1251_7734,Hulimavu PS,PILLAGANAHALLI
1251_7735,Hulimavu PS,NOBO NAGAR
1251_7736,Hulimavu PS,BASAVANAPURA
1251_7737,Electronic City PS,DODDA THOGURU M M SCHOOL ROAD
1251_7739,Electronic City Traffic PS,Konappana agrahara
1251_7740,Electronic City Traffic PS,Konappana agrahara
1252_1739,Electronic City Traffic PS,Basapura
1252_7721,Electronic City Traffic PS,Veerasandra gate junction
1252_7725,Chamarajpet PS,Pujamma Circle
1252_7728,Byadarahalli PS,Andrahalli
1252_7731,Jagajeevanram Nagar PS,Narasimhaiah Compound
1252_7732,Thalaghattapura Traffic PS,Gubbalalla
1252_7733,Konanakunte PS,KONANAKUNTE VILLAGE
1252_7734,Hulimavu PS,KOTTANOORU DINNE
1252_7735,Hulimavu PS,RAGAHVENDRA LAYOUT
1252_7736,Hulimavu PS,HULIMAVU GATE
1252_7737,Electronic City PS,MYLASANDRA VILLAGE
1252_7738,Electronic City Traffic PS,singasandra
1252_7739,Electronic City PS,Others
1252_7744,Varthur PS,KODATI SULIKUNTE AMBEDKAR NAGARA
1252_7745,Hulimavu PS,KOTTANOORU DINNE
1252_7752,Malleshwaram PS,Malleswaram
1252_7753,Thalaghattapura PS,Gubbalala
1253_1730,Kengeri PS,CHANNASANDRA
1253_6817,Subramanyapura PS,BRANDAVAN LAYOUT
1253_7586,Hulimavu PS,GOTTIGERE
1253_7720,Girinagar PS,V.B.H.C.S LAYOUT
1253_7724,Vijayanagar PS,BINNY LAYOUT
1253_7728,Kengeri PS,SONNENA HALLI
1253_7729,Kengeri PS,RV COLLEGE BUS STOP
1253_7730,Kengeri PS,LEFT SIDE FROM KARNATAKA BANK TO BHAIRAVA BAR
1253_7732,Thalaghattapura Traffic PS,Gubbalalla
1253_7733,Subramanyapura PS,VASANTHAPURA GUDDA
1253_7734,Hulimavu PS,KOTTANOORU DINNE
1253_7735,Hulimavu PS,HULIMAVU GATE
1253_7736,Hulimavu PS,HULIMAVU GATE
1253_7737,Electronic City PS,VISHWAPRIYA LAYOUT
1253_7738,Electronic City Traffic PS,Chikkabeguru gate
1253_7739,Electronic City Traffic PS,Parappana agrahara
1253_7740,Electronic City Traffic PS,Parappana agrahara
1253_7742,Varthur PS,KODATI SULIKUNTE AMBEDKAR NAGARA
1253_7743,Varthur PS,KODATI SULIKUNTE AMBEDKAR NAGARA
1253_7749,Thalaghattapura PS,Vasudevapura
1253_7753,Girinagar PS,ERANNA GUDDE
1253_7783,Thalaghattapura PS,Raguvanahalli
1253_7789,Byatarayanapura  PS,Satelite Bus Stand
1253_7793,Girinagar PS,ERANNA GUDDE
1253_793,Girinagar PS,NEHARU ROAD TO SEETHA CIRCLE
1254_7693,South CEN Crime PS,SOUTH DVN
1254_7702,Vishveshwarapuram PS,MIDDLE SCHOOL ROAD
1254_7708,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7714,Kempapura Agrahara PS,Cholurpalya
1254_7720,Vijayanagar PS,BINNY LAYOUT
1254_7724,Central CEN Crime PS,Central division Limit
1254_7725,Channammanakere Achu Kattu PS,C.K. ACHHUKATTU
1254_7726,Central CEN Crime PS,Central division Limit
1254_7728,Kengeri PS,Nagadevanahalli
1254_7729,Kengeri PS,SHIRKE APPARTMENTS
1254_7730,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7731,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7732,Magadi Road PS,JEDARAHALLY
1254_7733,Kumaraswamy Layout Traffic PS,KEMPAIAH LAYOUT
1254_7734,Jayanagar PS,Eighth Block Jayanagar
1254_7736,Mico Layout PS,BTM SECOND STAGE
1254_7739,Subramanyapura PS,BHCS LAYOUT
1254_7741,Thalaghattapura Traffic PS,Gubbalalla
1254_7742,Varthur PS,KODATI SULIKUNTE AMBEDKAR NAGARA
1254_7743,Varthur PS,KACHAMANAHALLI MULLURU CIHICKBALANDURU
1254_7744,Varthur PS,KACHAMANAHALLI MULLURU CIHICKBALANDURU
1254_7745,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7748,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7751,Hulimavu PS,HULIMAVU GATE
1254_7752,Kamakshipalya Traffic PS,SAND LORRY STAND
1254_7754,Channammanakere Achu Kattu PS,KAMAKYA LAYOUT
1254_7756,Byatarayanapura  PS,Nayandahalli Junction
1254_7758,Kengeri PS,SONNENA HALLI
1254_7759,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7765,Kengeri PS,SHIRKE APPARTMENTS
1254_7789,Rajarajeshwari Nagar PS,R.R.NAGARA
1254_7792,Channammanakere Achu Kattu PS,RAMARAO LAYOUT
1254_7795,Banashankari PS,Yarabanagara
1255_1748,Kengeri Traffic PS,Kengeri upanagara
1255_7728,Kengeri PS,RP ROAD
1255_7729,Kengeri PS,RP ROAD
1255_7730,Kengeri PS,SHIRKE
1255_7732,Girinagar PS,V.B.H.C.S LAYOUT
1255_7733,Channammanakere Achu Kattu PS,BANAGIRI NAGAR
1255_7734,Jayanagar PS,JAYANAGAR
1255_7735,Jayanagar PS,JAYANAGAR
1255_7736,Madivala PS,AXA BUILDING
1255_7737,High Grounds PS,RACE COURSE ROAD
1255_7738,Adugodi Traffic PS,KORAMANGALA
1255_7740,Airport Traffic PS,BELLANDUR TANK
1255_7741,Airport Traffic PS,BELLANDUR TANK
1255_7742,Varthur PS,GUNJUR BALAGERE GUNJUROALYA
1255_7743,Varthur PS,R G HALLI SIIAPURA TUBARAHALLI
1255_7744,Varthur PS,GUNJUR BALAGERE GUNJUROALYA
1255_7745,Kengeri PS,MANASALAYOUT
1255_7746,Kengeri Traffic PS,JLN ROAD
1255_7747,Kengeri Traffic PS,MYSROE ROAD
1255_7749,Kengeri Traffic PS,MYSROE ROAD
1255_7751,Kengeri Traffic PS,MYSROE ROAD
1255_7752,Kengeri Traffic PS,MYSROE ROAD
1255_7753,Kengeri Traffic PS,kengeri
1255_7758,Thalaghattapura PS,Gubbalala
1255_7760,Ashoknagar Traffic PS,NEELASANDRA MAIN ROAD
1255_7762,Ashoknagar Traffic PS,RICHMOND ROAD
1255_7763,Kengeri PS,NAGADEVANA HALLI
1255_7767,Kengeri Traffic PS,Kengeri upanagara
1255_7865,Bandepalya PS,HOSAPALYA
1256_1293,Basavanagudi PS,N.R COLONY
1256_7704,Kadugodi PS,CHANNASANDRA
1256_7712,Rajarajeshwari Nagar PS,R.R.NAGARA
1256_7723,H.A.L. PS,MARATHALLI
1256_7725,Channammanakere Achu Kattu PS,C.K. ACHHUKATTU
1256_7728,Kengeri PS,LEFT SIDE FROM KARNATAKA BANK TO BHAIRAVA BAR
1256_7729,Kengeri PS,NAGADEVANA HALLI
1256_7730,Jnanabharathi PS,P G ROAD
1256_7731,Malleshwaram PS,MALLESHWARA
1256_7732,Girinagar PS,GIRINAGAR
1256_7733,Girinagar PS,SRINIVASANAGAR
1256_7734,Basavanagudi PS,VSOUTH CROSS ROAD
1256_7735,Hulimavu PS,KOTTANOORU DINNE
1256_7736,Adugodi Traffic PS,KORAMANGALA
1256_7737,Adugodi Traffic PS,KORAMANGALA
1256_7738,Airport PS,B.NAGASAVDRA
1256_7739,Airport Traffic PS,AIRPORT MAIN ROAD
1256_7740,Airport PS,AK colony
1256_7741,Airport Traffic PS,OUTER RING ROAD
1256_7742,Airport Traffic PS,OUTER RING ROAD
1256_7743,Varthur PS,R G HALLI SIIAPURA TUBARAHALLI
1256_7744,Varthur PS,VARTHUR
1256_7745,Kempapura Agrahara PS,Magadi Road
1256_7751,Basavanagudi PS,Sixth Main
1256_7753,Basaveshwara Nagar PS,EIGTH MAIN NINTH MAIN TENTH MAIN BASAVESHWARANAGARA
1256_7754,Basaveshwara Nagar PS,Kere Angala
1256_7756,Girinagar PS,ERANNA GUDDE
1256_7757,Basavanagudi PS,M.N.K ROAD
1256_7761,Madivala PS,OTHER
1256_7763,Kamakshipalya PS,KAMAKSHIPALYA MAIN ROAD
1256_7765,Kengeri PS,RP ROAD
1256_7768,South CEN Crime PS,SOUTH DVN
1256_7769,Byatarayanapura  PS,Bangalore One And Fifty Feet Road
1256_7783,Thalaghattapura PS,Thalagattapura
1256_7786,H.A.L. PS,MARATHALLI
1256_7793,Channammanakere Achu Kattu PS,C.K. ACHHUKATTU
1256_7795,Byatarayanapura  PS,Other Area
1256_7798,Magadi Road Traffic PS,rajaji nagar
1257_1257,Jagajeevanram Nagar PS,Narasimhaiah Compound
1257_739,Airport PS,KONENAAGRAHARA
1257_7434,V V Puram Traffic PS,ANNAPORNA HOTEL JUNCTION
1257_7728,Jnanabharathi PS,JNANAGANGANAGARA
1257_7729,Jnanabharathi PS,MALAGALA VILLAGE
1257_7730,Jnanabharathi PS,NAGARABAVI VILLAGE
1257_7731,Chandra Layout PS,CHANDRALAYOUT
1257_7732,Jagajeevanram Nagar PS,Eidga Ground
1257_7733,V V Puram Traffic PS,Ist Main
1257_7734,V V Puram Traffic PS,K.R.Road
1257_7735,Sampangiramanagar PS,K.H.ROAD
1257_7736,Viveknagar PS,Victoria Layout
1257_7737,Jagajeevanram Nagar PS,Eidga Ground
1257_7738,Airport PS,KODIHALLI
1257_7739,Airport Traffic PS,AIRPORT MAIN ROAD
1257_7740,Airport Traffic PS,AIRPORT ROAD
1257_7741,Airport Traffic PS,AIRPORT ROAD
1257_7742,Airport Traffic PS,OUTER RING ROAD
1257_7743,Varthur PS,R G HALLI SIIAPURA TUBARAHALLI
1257_7744,Varthur PS,R G HALLI SIIAPURA TUBARAHALLI
1257_7748,Basavanagudi Women PS,Basavangudi
1257_7753,Chandra Layout PS,Nayandahlli
1257_7754,Chandra Layout PS,BINNILAYOUT
1257_7755,Kempegowda Nagar PS,R.K Matta
1257_7756,South CEN Crime PS,SOUTH DVN
1257_7757,V V Puram Traffic PS,Ist Main
1257_7768,Marathahalli PS,DEVARABISANA HALLI
1257_7798,Magadi Road Traffic PS,rajaji nagar
1258_7653,Airport PS,KODIHALLI
1258_7703,Jagajeevanram Nagar PS,Narasimhaiah Compound
1258_7705,Malleshwaram PS,MALLESHWARA
1258_7723,Magadi Road PS,RAILWAY QUATERS
1258_7724,Central CEN Crime PS,Central division Limit
1258_7725,Malleshwaram PS,Malleshwara
1258_7728,Byadarahalli PS,Anjananagar
1258_7730,Kamakshipalya Traffic PS,SAND LORRY STAND
1258_7731,Vijayanagar PS,M.C.LAYOUT
1258_7732,Jagajeevanram Nagar PS,Narasimhaiah Compound
1258_7733,Magadi Road Traffic PS,magadi road
1258_7734,Chickpet PS,ANCHEPET
1258_7735,Halasur Traffic PS,M G ROAD
1258_7736,East Zone Women PS,HALASURU GATE
1258_7737,Kempegowda Nagar PS,R.K Matta
1258_7738,Indiranagar PS,INDIRANAGAR
1258_7740,Airport Traffic PS,VARTHUR MAIN ROAD
1258_7741,Indiranagar PS,INDIRANAGAR
1258_7745,Airport PS,OTHERS
1258_7746,Rajajinagar Traffic PS,Mahalakshmi Layout
1258_7752,Malleshwaram PS,Malleshwara
1258_7753,Girinagar PS,NAGENDRA BLOCK THIRTEEN MAIN TO TEMPLE STREET
1258_7756,Malleshwaram PS,MALLESHWARA
1258_7758,Whitefield PS,VYDEHI CIRCLE
1258_7759,Rajarajeshwari Nagar PS,out side area
1258_7765,Basavanagudi PS,IVth Model House Street
1258_7775,Kadugodi PS,DINNUR
1258_7778,South CEN Crime PS,SOUTH DVN
1258_7794,South CEN Crime PS,SOUTH DVN
1258_7797,South CEN Crime PS,SOUTH DVN
1258_7798,South CEN Crime PS,SOUTH DVN
1259_1734,Malleshwaram Traffic PS,MALLESHWARAM
1259_7703,Cubbon Park PS,Cubbon Park
1259_7712,Rajarajeshwari Nagar PS,R.R.NAGARA
1259_7714,Rajarajeshwari Nagar PS,R.R.NAGARA
1259_7715,Rajarajeshwari Nagar PS,out side area
1259_7721,High Grounds PS,RACE COURSE ROAD
1259_7726,Rajarajeshwari Nagar PS,R.R.NAGARA
1259_7728,Byadarahalli PS,Herohalli
1259_7729,Rajarajeshwari Nagar PS,R.R.NAGARA
1259_7730,Rajagopal Nagar PS,HEGGANAHALLI
1259_7731,Rajagopal Nagar PS,Chamundipura
1259_7732,Vijayanagar PS,BINNY LAYOUT
1259_7733,Subramanyanagar PS,GAYATHRINAGAR
