UnitName,Unit_ID,Average_Latitude,Average_Longitude,Total_FIRs
Halasur Traffic PS,1775,12.9828,77.6248,332
Halasurgate PS,1386,12.9628,77.5808,817
Hanumanthanagar PS,1366,12.9448,77.5608,948
Hebbal PS,1354,13.0358,77.5978,698
Hebbal Traffic PS,1777,13.0358,77.5978,878
Hennur PS,1408,13.0258,77.6468,1134
Hennur Traffic PS,2320,13.0258,77.6468,73
High Grounds PS,1394,12.9878,77.5908,524
High Grounds Traffic PS,1767,12.9878,77.5908,391
Hulimavu PS,1798,12.8814,77.6038,1100
Hulimavu Traffic PS,2001,12.8814,77.6038,409
Indiranagar PS,1412,12.9784,77.6408,895
J.C. Nagar PS,1351,13.0108,77.5928,524
Jagajeevanram Nagar PS,1421,12.9738,77.5568,741
Jalahalli PS,14,13.0458,77.5458,381
Jalahalli Traffic PS,2005,13.0458,77.5458,469
Jayanagar PS,1372,12.925,77.5938,973
Jayanagar Traffic PS,1786,12.925,77.5938,720
Jayaprakash Nagar PS,1373,12.9077,77.5858,992
Jeevan Bheemanagar PS,1413,12.9648,77.6578,1168
Jeevan Bhima Nagar (Indiranagar) Traffic  PS,1773,12.9648,77.6578,471
Jnanabharathi PS,1422,12.9228,77.4988,978
K G Halli Traffic PS,2201,13.0238,77.6158,196
K.R. Puram PS,1405,13.0087,77.6931,1898
K.R.Puram Traffic PS,1774,13.0068,77.6958,948
Kadugodi PS,257,12.9992,77.7473,1034
Kadugondana Halli PS,1407,13.0248,77.6208,1581
Kalasipalya PS,1431,12.9644,77.5815,696
Kamakshipalya PS,1428,12.9822,77.532,1486
Kamakshipalya Traffic PS,1793,12.9838,77.5268,994
Kempapura Agrahara PS,1427,12.9728,77.5618,646
Kempegowda Nagar PS,1367,12.9508,77.5658,469
Kengeri PS,1423,12.9116,77.4851,1268
Kengeri Traffic PS,2006,12.9141,77.4871,531
Kodigehalli PS,1873,13.0678,77.5828,780
Konanakunte PS,2202,12.8839,77.5664,1042
Koramangala PS,1383,12.9352,77.6245,1200
Kothanur PS,1875,13.0618,77.6488,659
Kumaraswamy Layout PS,1378,12.9039,77.5562,1188
Kumaraswamy Layout Traffic PS,1795,12.8452,77.66,1006
Madivala PS,1380,12.8452,77.66,1447
Madivala Traffic PS,1763,12.921,77.6207,424
Magadi Road PS,1425,12.9745,77.5513,807
Magadi Road Traffic PS,1790,13.0388,77.6218,341
Mahadevapura PS,1414,12.9963,77.6939,1657
Mahadevapura Traffic PS,2318,12.9588,77.6668,87
Mahalakshmipuram PS,1359,12.9116,77.6478,918
Malleshwaram PS,1357,12.9967,77.5697,588
Malleshwaram Traffic PS,1778,12.9628,77.5808,820
Marathahalli PS,2199,12.9828,77.6248,1251
Mico Layout PS,1381,12.9828,77.6248,1398
Mico Layout Traffic PS,1764,12.9628,77.5808,390
Nandini Layout PS,1363,12.9448,77.5608,1225
North CEN Crime PS,2149,13.0358,77.5978,2240
NorthEast CEN Crime PS,2260,13.0358,77.5978,1688
Parappana Agrahara PS,1800,12.8773,77.6674,1381
Peenya PS,1350,13.036,77.5212,1730
Peenya Traffic PS,1779,12.9878,77.5908,1074
Pulakeshinagar  PS,1399,12.9878,77.5908,1005
Pulakeshinagar Traffic PS,1772,12.8814,77.6038,353
Puttenahalli PS,2203,12.8814,77.6038,860
R.M.C. Yard PS,1349,13.0232,77.5456,713
R.T. Nagar PS,1352,13.0232,77.5954,1040
R.T.Nagar Traffic PS,1780,12.9738,77.5568,715
Rajagopal Nagar PS,1362,13.0203,77.5147,1933
Rajajinagar PS,1360,12.9904,77.5557,570
Rajajinagar Traffic PS,1781,12.925,77.5938,853
Rajarajeshwari Nagar PS,1877,12.9128,77.5205,945
Ramamurthy Nagar PS,1409,13.0118,77.6719,1765
S.J. Park PS,1392,12.9648,77.6578,382
Sadashivanagar PS,1396,13.0132,77.5702,573
Sadashivanagar Traffic PS,1768,12.9228,77.4988,464
Sampangiramanagar PS,1391,12.963,77.5921,443
Sampigehalli PS,1874,13.0068,77.6958,842
Sanjay Nagar PS,1353,13.0366,77.5768,802
Seshadripuram PS,1393,12.9958,77.7608,389
Shankarpura PS,1369,12.9539,77.5701,142
Shivajinagar PS,1403,12.9608,77.5736,447
Shivajinagar Traffic PS,1771,12.9838,77.5268,369
Siddapura PS,1385,12.9838,77.5268,724
Soladevanahalli PS,30,13.0805,77.5135,985
South CEN Crime PS,2258,12.9508,77.5658,1946
SouthEast CEN Crime PS,2259,12.9348,77.62,1742
Srirampura PS,1358,12.9141,77.4871,496
Subramanyanagar PS,1361,13.0678,77.5828,730
Subramanyapura PS,1379,12.8847,77.5653,1298
Suddaguntepalya PS,2197,12.9328,77.6085,854
Thalaghattapura PS,1347,13.0618,77.6488,1016
Thalaghattapura Traffic PS,2321,12.8268,77.5486,116
Thilaknagar PS,1384,12.8898,77.5868,882
Thyagarajanagar PS,1374,12.9388,77.5688,59
Upparpet PS,1430,12.9745,77.575,737
Upparpet Traffic PS,1791,12.9708,77.5738,564
V V Puram Traffic PS,1785,12.9498,77.5738,605
Varthur PS,259,12.9381,77.7468,979
Victoria Hospital PS,1371,12.9608,77.5738,11
Vidhana Soudha PS,1397,12.9797,77.5884,229
Vidyaranyapura PS,15,13.0768,77.5588,929
Vijayanagar PS,1424,12.9719,77.5369,1289
Vijayanagar Traffic PS,1792,12.9719,77.5369,674
Vishveshwarapuram PS,1365,12.9508,77.5738,474
Viveknagar PS,1390,12.9678,77.6178,725
Vyalikaval PS,1395,13.00157,77.57863,469
West CEN Crime PS,2148,12.9744,77.5747,1777
Whitefield CEN Crime PS,2261,12.9698,77.7499,1608
Whitefield PS,258,12.9698,77.7499,1357
Whitefield Traffic PS,1895,12.9698,77.7499,795
Wilsongarden PS,1388,12.9468,77.5968,616
Wilsongarden Traffic PS,1765,12.9468,77.5968,563
Yelahanka New Town PS,1356,13.0965,77.5802,964
Yelahanka PS,1355,13.1007,77.5963,969
Yelahanka Traffic PS,1794,13.1007,77.5963,1188
Yeshwanthapura PS,6,13.0235,77.5501,1199
Yeshwanthapura Traffic PS,1782,13.0288,77.5408,818
