UnitName,Unit_ID,Average_Latitude,Average_Longitude,Total_FIRs
Pulakeshinagar  PS,1399,13.178374222580645,77.6710945564516,1005
Pulakeshinagar Traffic PS,1772,12.996016689285714,77.57093453214286,353
Puttenahalli PS,2203,12.881262360000001,77.5765337,860
R.M.C. Yard PS,1349,44.004926039329895,45.895699907242275,713
R.T. Nagar PS,1352,16.77764177596899,73.82025625436893,1040
R.T.Nagar Traffic PS,1780,13.041541364273204,76.76879383274955,715
Rajagopal Nagar PS,1362,14.320971677966728,76.14671135741698,1933
Rajajinagar PS,1360,17.223097687882277,73.21704057663317,570
Rajajinagar Traffic PS,1781,9.400562115989418,55.99717126382716,853
Rajarajeshwari Nagar PS,1877,13.209466763793102,76.81954312510345,945
Ramamurthy Nagar PS,1409,15.350252125223879,76.9036583633582,1765
S.J. Park PS,1392,12.960593843703704,77.58290526666666,382
Sadashivanagar PS,1396,27.231557591130862,63.362032100149634,573
Sadashivanagar Traffic PS,1768,13.165064144787644,77.53781908030888,464
Sampangiramanagar PS,1391,23.36058279605545,67.1723408443914,443
Sampigehalli PS,1874,13.073022052405063,77.62689285898733,842
Sanjay Nagar PS,1353,21.805464657017964,69.83163996501989,802
Seshadripuram PS,1393,13.27865735087963,77.57149866777779,389
Shankarpura PS,1369,15.298508078070176,76.55725927140351,142
Shivajinagar PS,1403,12.987074092105264,77.61294863263157,447
Shivajinagar Traffic PS,1771,12.98272596669614,77.07455139454272,369
Siddapura PS,1385,13.79785225707143,75.70108599092858,724
Soladevanahalli PS,30,13.749141281841432,76.6901156494911,985
South CEN Crime PS,2258,12.73907330232558,78.01991805581396,1946
SouthEast CEN Crime PS,2259,12.902839326797386,77.65103350980392,1742
Srirampura PS,1358,16.57580192842593,73.9779642100926,496
Subramanyanagar PS,1361,29.137233505394462,61.57898635304552,730
Subramanyapura PS,1379,58.70493800786594,31.748932296757555,1298
Suddaguntepalya PS,2197,13.123218646496817,77.36187998853502,854
Thalaghattapura PS,1347,13.578786430645783,76.71488331069192,1016
Thalaghattapura Traffic PS,2321,12.767336195061727,76.63541177901234,116
Thilaknagar PS,1384,12.481615213636363,76.38874724753246,882
Thyagarajanagar PS,1374,,,59
Upparpet PS,1430,24.51967344813497,66.84669185110802,737
Upparpet Traffic PS,1791,12.942977004615384,77.04613215668017,564
V V Puram Traffic PS,1785,12.727025857546934,77.40919043545634,605
Varthur PS,259,15.167141678122945,75.57222973429629,979
Victoria Hospital PS,1371,12.962225186363638,77.57350297818182,11
Vidhana Soudha PS,1397,13.669148273429968,76.90466882813335,229
Vidyaranyapura PS,15,14.426710612554821,76.00345443784038,929
Vijayanagar PS,1424,16.939912668281973,73.4126643276314,1289
Vijayanagar Traffic PS,1792,2.946948866458772,17.60951496383464,674
Vishveshwarapuram PS,1365,14.019345056208584,76.46841128602419,474
Viveknagar PS,1390,16.495477345873983,74.0718437886382,725
Vyalikaval PS,1395,22.813238985295456,66.98891263320455,469
West CEN Crime PS,2148,12.9681568257527,77.9080913015409,1777
Whitefield CEN Crime PS,2261,12.939489123287672,77.66331957534247,1608
Whitefield PS,258,13.170447805135648,77.53406097848743,1357
Whitefield Traffic PS,1895,12.974274308421053,77.74351995578947,795
Wilsongarden PS,1388,12.95256091588785,77.59447718785046,616
Wilsongarden Traffic PS,1765,12.293673661025641,73.65332034128205,563
Yelahanka New Town PS,1356,13.566811368348624,77.56436658990826,964
Yelahanka PS,1355,16.5617629276872,74.15376658304353,969
Yelahanka Traffic PS,1794,13.127791233333333,77.53348864833333,1188
Yeshwanthapura PS,6,66.48235091934046,23.913883483410654,1199
Yeshwanthapura Traffic PS,1782,13.359339094700356,77.27746109035049,818
